titulo,empresa,descricao,data_publicacao,salario,localizacao
Backend Developer (Junior with experience),Withus,,2025-11-10 13:03:21,,Aveiro
IT Commercial Specialist,Six-Factor,,2025-11-10 13:03:16,,Lisboa
IT Integration Architect,QiBit Portugal,,2025-11-10 13:03:10,,Lisboa
Network/Security Engineer,Wamos Portugal,,2025-11-10 13:03:00,,
Consultor SAP Basis,Bee Engineering,,2025-11-10 13:03:00,,"Lisboa, Porto"
Senior Java Backend Developer,YellowIpe,,2025-11-10 13:02:26,,Lisboa
Tech Lead/Arquiteto,Sourcing Trust,,2025-11-10 13:02:22,,Lisboa
Cybersecurity Engineer,Growin - Know to grow,,2025-11-10 13:02:17,,"Porto, Lisboa, Braga, Aveiro"
Data Engineer (Azure),Fyld,,2025-11-10 13:02:10,,Lisboa
Engenheiro Senior de Desenvolvimento de Sistemas Embebidos,TECMIC,,2025-11-10 13:02:06,,Lisboa
